win_id	chr	win_start	n_cpgs	mean_delta	sd_delta	mean_ctrl_entropy	mean_ctrl_beta	z_score	p_value	fdr
chr1:1031000	chr1	1031000	6	-0.153603070338772	0.0915227313365915	0.6377242158661	0.8300390293926	-4.11099122327435	0.0000393964177748355	0.0193475610874143
chr1:1820000	chr1	1820000	12	-0.204621048942806	0.141431826079104	0.672700631880007	0.816007797349709	-5.01180056699191	0.000000539230747837168	0.000746582058678906
chr1:2715000	chr1	2715000	5	0.074119951411104	0.0352768326478707	0.484035389500322	0.877707631676739	4.6981896447048	0.00000262477658649587	0.00261727944356622
chr1:3629000	chr1	3629000	5	-0.116241387763849	0.0559801713369298	0.926853433587586	0.544769611417882	-4.64313771521826	0.00000343157452473109	0.00324095866488216
chr1:3999000	chr1	3999000	23	0.133105399781906	0.149131496518484	0.128374304013161	0.978741072167348	4.2804577644541	0.0000186509282016286	0.0114350449979903
chr1:4115000	chr1	4115000	5	-0.267672609101143	0.121321024909193	0.512832065086925	0.869797656534499	-4.93347422767716	0.000000807797052040835	0.00101632595090284
chr1:4145000	chr1	4145000	6	0.153083624334844	0.0936694311877242	0.405685240089809	0.909588378610118	4.00319253401655	0.0000624934029933677	0.0265556666183139
chr1:4148000	chr1	4148000	7	0.149919035694806	0.101123408431106	0.256669407645376	0.95424239487701	3.92242005483133	0.0000876639852386603	0.0330701240585909
chr1:4933000	chr1	4933000	12	-0.170666865394616	0.119281201243971	0.605502196517065	0.827052722650689	-4.95641691983606	0.000000718050501250893	0.000933878115034266
chr1:4956000	chr1	4956000	7	-0.25422574093313	0.134974731059086	0.525365059434306	0.860563580393049	-4.98328896158907	0.000000625124878231637	0.000845654167413397
chr1:5005000	chr1	5005000	19	-0.2055271948714	0.219952826833661	0.221818957584131	0.0468319922613551	-4.07302004475408	0.0000464074286331838	0.0214931988110345
chr1:5006000	chr1	5006000	6	-0.283140260144738	0.141432164318566	0.283140263610936	0.052744708994709	-4.90375839424563	0.00000094020122501698	0.00113868697048846
chr1:5940000	chr1	5940000	11	0.165175780372877	0.132957508368329	0.541421727309446	0.872325955992752	4.12030952350094	0.0000378363756479693	0.0188085053848433
chr1:6402000	chr1	6402000	5	-0.163103264666123	0.0758967959089783	0.871180642014121	0.684534769248728	-4.80534102629289	0.0000015448795011833	0.00169680847492118
chr1:6771000	chr1	6771000	6	-0.539715831350896	0.275255141595792	0.673411315439805	0.200219143601497	-4.80291988461053	0.00000156368461943458	0.00171267893636215
chr1:7299000	chr1	7299000	6	-0.226238973874337	0.131031861794339	0.226238977340535	0.0395860267183797	-4.22927705013289	0.0000234443486315574	0.0133924677855237
chr1:7459000	chr1	7459000	21	0.142008325127559	0.145393598530865	0.37989814737038	0.90408783251612	4.47587724484852	0.00000760982009051857	0.00591916882869047
chr1:9262000	chr1	9262000	19	0.122486925565489	0.140125595634023	0.294086324675024	0.940796983630593	3.81021131813353	0.000138848058896286	0.0448365962450852
chr1:10359000	chr1	10359000	9	-0.0831836836476508	0.0602981218439711	0.792868796145736	0.655377890018511	-4.1386206288265	0.0000349400150193851	0.0177961897483515
chr1:10548000	chr1	10548000	14	-0.180563154161414	0.160254213739201	0.401329544908328	0.889833907842316	-4.2158358509483	0.0000248854730872804	0.0139925064370847
chr1:10554000	chr1	10554000	6	-0.249683486141273	0.130124880635585	0.764915987344734	0.756547716416137	-4.70007838053797	0.00000260061655108991	0.0025997812683163
chr1:11173000	chr1	11173000	13	-0.20621327128568	0.171474995553969	0.485369540949595	0.882032970965157	-4.33598216987665	0.0000145110706999254	0.00941042536015209
chr1:11226000	chr1	11226000	5	-0.145054684820119	0.0549819934446373	0.990170221825081	0.517722473604827	-5.8992429228524	0.00000000365173259770274	0.0000105321771604761
chr1:11755000	chr1	11755000	8	0.151280335233754	0.104023146206644	0.37131318595475	0.913056799915416	4.11336725737796	0.0000389929298140417	0.0192053773946429
chr1:12168000	chr1	12168000	20	-0.170260663879873	0.19085486130667	0.582397915045198	0.836476362174118	-3.9895700400096	0.0000661931719866823	0.027557851798765
chr1:12200000	chr1	12200000	28	0.0677776549502438	0.0891530995170911	0.00000000346619761090596	0	4.02280617088616	0.0000575088227534606	0.0250234655128218
chr1:13403000	chr1	13403000	10	-0.180979038915272	0.138003359024757	0.713607448661062	0.790644804169776	-4.14704378041871	0.0000336795680115712	0.0172880374420819
chr1:15009000	chr1	15009000	10	-0.114659968202636	0.0635759401307619	0.61231608506876	0.821180429986721	-5.70320557143237	0.0000000117575041964378	0.0000295722790142988
chr1:15552000	chr1	15552000	14	-0.151758342450555	0.148475370455515	0.377213377623681	0.920545295478634	-3.82439000685851	0.000131096255787506	0.0433176180247378
chr1:15565000	chr1	15565000	17	0.134211853016105	0.126906864713738	0.215413294517655	0.961304867895825	4.36043903096575	0.0000129801746189119	0.00867948235216736
chr1:15939000	chr1	15939000	17	0.162236163499055	0.139760237432214	0.548833993358323	0.793499254901848	4.78617417007479	0.00000169990552497668	0.0018312732924918
chr1:16038000	chr1	16038000	6	-0.280505673090512	0.128245333611609	0.66275272531657	0.820133419691739	-5.35766682247147	0.0000000843035166247196	0.000162228708946767
chr1:16187000	chr1	16187000	14	-0.407770782468611	0.171895640698055	0.659224070455019	0.173905276630841	-8.87595842534671	0.000000000000000000693337411172247	0.0000000000000061035475395852
chr1:16645000	chr1	16645000	35	-0.0762375685731857	0.108544484117967	0.0762375720393833	0.0123099915957059	-4.1552322240374	0.000032495732308103	0.0168717641905884
chr1:17089000	chr1	17089000	19	0.0852861180670522	0.0967797557789128	0.400721357448275	0.87907362613531	3.84123277589589	0.000122417956406548	0.0413316960235918
chr1:17111000	chr1	17111000	13	-0.292709826975241	0.158924326623272	0.514807083317716	0.128692032900824	-6.64077245073494	0.0000000000312043459591149	0.000000145491311401728
chr1:17855000	chr1	17855000	7	-0.329817372332854	0.226466496364419	0.329817375799051	0.0699134199134199	-3.85317368913305	0.000116596618296073	0.0402230548167537
