gene_id	motif	present	canonical_pos	expr_decile
LOC_00000001	TATA	FALSE	-30	D02
LOC_00000001	Inr	TRUE	0	D02
LOC_00000001	DPE	TRUE	30	D02
LOC_00000001	BRE	FALSE	-35	D02
LOC_00000004	TATA	FALSE	-30	D03
LOC_00000004	Inr	FALSE	0	D03
LOC_00000004	DPE	TRUE	30	D03
LOC_00000004	BRE	FALSE	-35	D03
LOC_00000007	TATA	FALSE	-30	D08
LOC_00000007	Inr	TRUE	0	D08
LOC_00000007	DPE	TRUE	30	D08
LOC_00000007	BRE	FALSE	-35	D08
LOC_00000008	TATA	FALSE	-30	D07
LOC_00000008	Inr	TRUE	0	D07
LOC_00000008	DPE	TRUE	30	D07
LOC_00000008	BRE	FALSE	-35	D07
LOC_00000009	TATA	FALSE	-30	D10
LOC_00000009	Inr	FALSE	0	D10
LOC_00000009	DPE	TRUE	30	D10
LOC_00000009	BRE	FALSE	-35	D10
LOC_00000011	TATA	FALSE	-30	D09
LOC_00000011	Inr	TRUE	0	D09
LOC_00000011	DPE	TRUE	30	D09
LOC_00000011	BRE	FALSE	-35	D09
LOC_00000012	TATA	FALSE	-30	D06
LOC_00000012	Inr	TRUE	0	D06
LOC_00000012	DPE	TRUE	30	D06
LOC_00000012	BRE	FALSE	-35	D06
LOC_00000014	TATA	FALSE	-30	D07
LOC_00000014	Inr	TRUE	0	D07
LOC_00000014	DPE	TRUE	30	D07
LOC_00000014	BRE	FALSE	-35	D07
LOC_00000016	TATA	FALSE	-30	D07
LOC_00000016	Inr	TRUE	0	D07
LOC_00000016	DPE	TRUE	30	D07
LOC_00000016	BRE	FALSE	-35	D07
LOC_00000017	TATA	FALSE	-30	D02
LOC_00000017	Inr	FALSE	0	D02
LOC_00000017	DPE	TRUE	30	D02
LOC_00000017	BRE	FALSE	-35	D02
LOC_00000018	TATA	FALSE	-30	D10
LOC_00000018	Inr	TRUE	0	D10
LOC_00000018	DPE	TRUE	30	D10
LOC_00000018	BRE	FALSE	-35	D10
LOC_00000019	TATA	FALSE	-30	D08
LOC_00000019	Inr	FALSE	0	D08
LOC_00000019	DPE	TRUE	30	D08
LOC_00000019	BRE	FALSE	-35	D08
LOC_00000021	TATA	FALSE	-30	D03
LOC_00000021	Inr	FALSE	0	D03
LOC_00000021	DPE	TRUE	30	D03
LOC_00000021	BRE	FALSE	-35	D03
LOC_00000022	TATA	FALSE	-30	D01
LOC_00000022	Inr	TRUE	0	D01
LOC_00000022	DPE	TRUE	30	D01
LOC_00000022	BRE	TRUE	-35	D01
LOC_00000023	TATA	FALSE	-30	D08
LOC_00000023	Inr	TRUE	0	D08
LOC_00000023	DPE	TRUE	30	D08
LOC_00000023	BRE	FALSE	-35	D08
LOC_00000024	TATA	FALSE	-30	D05
LOC_00000024	Inr	TRUE	0	D05
LOC_00000024	DPE	TRUE	30	D05
LOC_00000024	BRE	FALSE	-35	D05
LOC_00000025	TATA	FALSE	-30	D03
LOC_00000025	Inr	TRUE	0	D03
LOC_00000025	DPE	TRUE	30	D03
LOC_00000025	BRE	FALSE	-35	D03
LOC_00000026	TATA	FALSE	-30	D07
LOC_00000026	Inr	FALSE	0	D07
LOC_00000026	DPE	TRUE	30	D07
LOC_00000026	BRE	FALSE	-35	D07
LOC_00000029	TATA	FALSE	-30	D09
LOC_00000029	Inr	TRUE	0	D09
LOC_00000029	DPE	TRUE	30	D09
LOC_00000029	BRE	FALSE	-35	D09
LOC_00000030	TATA	FALSE	-30	D07
LOC_00000030	Inr	TRUE	0	D07
LOC_00000030	DPE	TRUE	30	D07
LOC_00000030	BRE	FALSE	-35	D07
LOC_00000031	TATA	FALSE	-30	D05
LOC_00000031	Inr	TRUE	0	D05
LOC_00000031	DPE	TRUE	30	D05
LOC_00000031	BRE	FALSE	-35	D05
LOC_00000032	TATA	FALSE	-30	D08
LOC_00000032	Inr	TRUE	0	D08
LOC_00000032	DPE	TRUE	30	D08
LOC_00000032	BRE	FALSE	-35	D08
LOC_00000033	TATA	TRUE	-30	D08
LOC_00000033	Inr	TRUE	0	D08
LOC_00000033	DPE	TRUE	30	D08
LOC_00000033	BRE	FALSE	-35	D08
LOC_00000034	TATA	FALSE	-30	D10
LOC_00000034	Inr	TRUE	0	D10
LOC_00000034	DPE	TRUE	30	D10
LOC_00000034	BRE	FALSE	-35	D10
LOC_00000036	TATA	FALSE	-30	D08
LOC_00000036	Inr	TRUE	0	D08
LOC_00000036	DPE	TRUE	30	D08
LOC_00000036	BRE	FALSE	-35	D08
LOC_00000037	TATA	FALSE	-30	D04
LOC_00000037	Inr	TRUE	0	D04
LOC_00000037	DPE	TRUE	30	D04
LOC_00000037	BRE	FALSE	-35	D04
LOC_00000040	TATA	FALSE	-30	D05
LOC_00000040	Inr	TRUE	0	D05
LOC_00000040	DPE	TRUE	30	D05
LOC_00000040	BRE	FALSE	-35	D05
LOC_00000041	TATA	FALSE	-30	D09
LOC_00000041	Inr	TRUE	0	D09
LOC_00000041	DPE	TRUE	30	D09
LOC_00000041	BRE	FALSE	-35	D09
LOC_00000043	TATA	FALSE	-30	D08
LOC_00000043	Inr	FALSE	0	D08
LOC_00000043	DPE	TRUE	30	D08
LOC_00000043	BRE	FALSE	-35	D08
LOC_00000044	TATA	FALSE	-30	D06
LOC_00000044	Inr	TRUE	0	D06
LOC_00000044	DPE	TRUE	30	D06
LOC_00000044	BRE	FALSE	-35	D06
LOC_00000045	TATA	FALSE	-30	D08
LOC_00000045	Inr	TRUE	0	D08
LOC_00000045	DPE	TRUE	30	D08
LOC_00000045	BRE	FALSE	-35	D08
LOC_00000046	TATA	FALSE	-30	D07
LOC_00000046	Inr	FALSE	0	D07
LOC_00000046	DPE	TRUE	30	D07
LOC_00000046	BRE	FALSE	-35	D07
LOC_00000047	TATA	TRUE	-30	D08
LOC_00000047	Inr	TRUE	0	D08
LOC_00000047	DPE	TRUE	30	D08
LOC_00000047	BRE	FALSE	-35	D08
LOC_00000048	TATA	FALSE	-30	D08
LOC_00000048	Inr	TRUE	0	D08
LOC_00000048	DPE	TRUE	30	D08
LOC_00000048	BRE	FALSE	-35	D08
LOC_00000050	TATA	FALSE	-30	D09
LOC_00000050	Inr	FALSE	0	D09
LOC_00000050	DPE	TRUE	30	D09
LOC_00000050	BRE	FALSE	-35	D09
LOC_00000051	TATA	FALSE	-30	D09
LOC_00000051	Inr	TRUE	0	D09
LOC_00000051	DPE	TRUE	30	D09
LOC_00000051	BRE	FALSE	-35	D09
LOC_00000054	TATA	FALSE	-30	D09
LOC_00000054	Inr	TRUE	0	D09
LOC_00000054	DPE	TRUE	30	D09
LOC_00000054	BRE	FALSE	-35	D09
LOC_00000055	TATA	FALSE	-30	D07
LOC_00000055	Inr	TRUE	0	D07
LOC_00000055	DPE	FALSE	30	D07
LOC_00000055	BRE	FALSE	-35	D07
LOC_00000057	TATA	FALSE	-30	D07
LOC_00000057	Inr	TRUE	0	D07
LOC_00000057	DPE	TRUE	30	D07
LOC_00000057	BRE	FALSE	-35	D07
LOC_00000058	TATA	FALSE	-30	D05
LOC_00000058	Inr	TRUE	0	D05
LOC_00000058	DPE	TRUE	30	D05
LOC_00000058	BRE	FALSE	-35	D05
LOC_00000059	TATA	FALSE	-30	D03
LOC_00000059	Inr	FALSE	0	D03
LOC_00000059	DPE	TRUE	30	D03
LOC_00000059	BRE	FALSE	-35	D03
LOC_00000061	TATA	FALSE	-30	D10
LOC_00000061	Inr	FALSE	0	D10
LOC_00000061	DPE	TRUE	30	D10
LOC_00000061	BRE	FALSE	-35	D10
